"","Start","ID","Type","Via","Altitude(ft/m)","Position (lat/long)","Distance (leg/total)","Name","URL"
"1","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/233924"
"2","•","JB","NDB","-","6,800 / 2,073","1.49994 / 103.71162","19  / 19 nm","","https://flightplandatabase.com/plan/233924"
"3","O","WMKM","APT","-","0 / 0","2.26336 / 102.25155","98  / 118 nm","Malacca","https://flightplandatabase.com/plan/233924"
"4","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/753570"
"5","•","JB","NDB","-","6,800 / 2,073","1.49994 / 103.71162","19  / 19 nm","","https://flightplandatabase.com/plan/753570"
"6","O","WMKM","APT","-","0 / 0","2.26336 / 102.25155","98  / 118 nm","Malacca","https://flightplandatabase.com/plan/753570"
"7","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/645800"
"8","•","JB","NDB","-","6,800 / 2,073","1.49994 / 103.71162","19  / 19 nm","","https://flightplandatabase.com/plan/645800"
"9","O","WMKM","APT","-","0 / 0","2.26336 / 102.25155","98  / 118 nm","Malacca","https://flightplandatabase.com/plan/645800"
"10","O","WSSS","APT","-","0 / 0","1.35561 / 103.98800","- / 0 nm","Singapore Changi","https://flightplandatabase.com/plan/1258655"
"11","•","JB","NDB","-","6,600 / 2,012","1.49994 / 103.71200","18  / 18 nm","JAYBEE","https://flightplandatabase.com/plan/1258655"
"12","O","WMKM","APT","-","0 / 0","2.26336 / 102.25200","98  / 117 nm","Malacca","https://flightplandatabase.com/plan/1258655"
"13","O","WSSS","APT","-","0 / 0","1.35561 / 103.98800","- / 0 nm","Singapore Changi","https://flightplandatabase.com/plan/1258658"
"14","•","JB","NDB","-","6,600 / 2,012","1.49994 / 103.71200","18  / 18 nm","JAYBEE","https://flightplandatabase.com/plan/1258658"
"15","O","WMKM","APT","-","0 / 0","2.26336 / 102.25200","98  / 117 nm","Malacca","https://flightplandatabase.com/plan/1258658"
"16","O","WSSS","APT","-","0 / 0","1.35561 / 103.98800","- / 0 nm","Singapore Changi","https://flightplandatabase.com/plan/1258666"
"17","•","JB","NDB","-","9,300 / 2,835","1.49994 / 103.71200","18  / 18 nm","JAYBEE","https://flightplandatabase.com/plan/1258666"
"18","O","WMKM","APT","-","0 / 0","2.26336 / 102.25200","98  / 117 nm","Malacca","https://flightplandatabase.com/plan/1258666"
"19","O","WMKM","APT","-","0 / 0","2.26336 / 102.25200","- / 0 nm","Malacca","https://flightplandatabase.com/plan/1314669"
"20","•","JB","NDB","-","4,000 / 1,219","1.49994 / 103.71200","98  / 98 nm","JAYBEE","https://flightplandatabase.com/plan/1314669"
"21","O","WSSS","APT","-","0 / 0","1.35561 / 103.98800","18  / 117 nm","Singapore Changi","https://flightplandatabase.com/plan/1314669"
"22","O","WSSS","APT","-","0 / 0","1.35561 / 103.98800","- / 0 nm","Singapore Changi","https://flightplandatabase.com/plan/1372701"
"23","•","JB","NDB","-","6,600 / 2,012","1.49994 / 103.71200","18  / 18 nm","JAYBEE","https://flightplandatabase.com/plan/1372701"
"24","O","WMKM","APT","-","0 / 0","2.26336 / 102.25200","98  / 117 nm","Malacca","https://flightplandatabase.com/plan/1372701"
"25","O","WSSS","APT","-","0 / 0","1.35561 / 103.98800","- / 0 nm","Singapore Changi","https://flightplandatabase.com/plan/1406918"
"26","•","JB","NDB","-","6,600 / 2,012","1.49994 / 103.71200","18  / 18 nm","JAYBEE","https://flightplandatabase.com/plan/1406918"
"27","O","WMKM","APT","-","0 / 0","2.26336 / 102.25200","98  / 117 nm","Malacca","https://flightplandatabase.com/plan/1406918"
"28","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/789526"
"29","•","UDONI","FIX","-","12,100 / 3,688","0.80500 / 104.13500","33  / 33 nm","","https://flightplandatabase.com/plan/789526"
"30","O","WIKK","APT","-","0 / 0","-0.47919 / 104.57928","81  / 115 nm","Singkep Dabo","https://flightplandatabase.com/plan/789526"
"31","O","WIKK","APT","-","0 / 0","-0.47919 / 104.57928","- / 0 nm","Singkep Dabo","https://flightplandatabase.com/plan/145290"
"32","•","UDONI","FIX","-","7,200 / 2,195","0.80500 / 104.13500","81  / 81 nm","","https://flightplandatabase.com/plan/145290"
"33","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","33  / 115 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/145290"
"34","O","WIBS","APT","-","0 / 0","1.36965 / 102.14006","- / 0 nm","Bengkalis/Sei Pakning (Pertamina)","https://flightplandatabase.com/plan/193442"
"35","•","MASNI","FIX","-","4,700 / 1,433","1.34361 / 103.62944","89  / 89 nm","","https://flightplandatabase.com/plan/193442"
"36","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","21  / 111 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/193442"
"37","O","WMBT","APT","-","0 / 0","2.81818 / 104.16002","- / 0 nm","Pulau Tioman","https://flightplandatabase.com/plan/145298"
"38","•","VTK30","FIX","-","7,200 / 2,195","1.91500 / 104.03139","54  / 54 nm","","https://flightplandatabase.com/plan/145298"
"39","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","33  / 88 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/145298"
